,hisp,pop,n_competitors,ratings,reviews,spread_rating,metrics
102,0.264,12135,2.0,2.5,3.0,0.0,0.00061804697157
103,0.264,12135,1.0,3.0,26.0,0.0,0.00642768850433
104,0.049,12326,1.0,4.0,24.0,0.0,0.00778841473308
105,0.059,15443,2.0,2.0,1.0,0.0,0.000129508515185
106,0.098,15945,5.0,4.5,26.6,0.00326121041079,0.00750705550329
107,0.145,16715,2.0,4.0,6.0,0.0,0.00143583607538
108,0.145,16715,1.0,5.0,1.0,0.0,0.000299132515704
109,0.012,20859,3.0,3.33333333333,11.0,0.000862936861786,0.00175783434808
110,0.496,78958,23.0,3.91304347826,27.3043478261,0.00225436307911,0.00135316370968
111,0.251,7918,1.0,4.0,34.0,0.0,0.0171760545592
112,0.301,80048,11.0,3.04545454545,113.454545455,0.00286078352988,0.00431641841341
113,0.151,805235,36.0,3.97222222222,394.138888889,0.00216148080995,0.0019442861439
114,0.393,80530,6.0,3.5,25.5,0.000533962498448,0.00110828262759
115,0.062,8067,1.0,4.0,44.0,0.0,0.0218172802777
116,0.209,80968,11.0,3.54545454545,123.0,0.00268007113922,0.00538596617294
117,0.889,8187,8.0,4.0625,12.125,0.00537437400757,0.00601658879932
118,0.337,8234,6.0,3.75,93.0,0.0369200874423,0.042354870051
119,0.064,8270,3.0,3.0,102.333333333,0.0,0.0371221281741
120,0.369,82922,11.0,3.45454545455,64.4545454545,0.00162803598563,0.00268518797213
121,0.344,83089,3.0,3.16666666667,84.3333333333,0.00156458737017,0.00321409037966
